,Chapter number in book,Chapter name,POV,Location,Storyline,Storyline2,In show yet?
,,,,,,,
A Game of Thrones,0,Prologue,Other,Beyond,night,,1
A Game of Thrones,1,Bran I,Bran,North,Stark,,1
A Game of Thrones,2,Catelyn I,Catelyn,North,Stark,,1
A Game of Thrones,3,Daenerys I,Daenerys,Essos,Daenerys,,1
A Game of Thrones,4,Eddard I,Eddard,North,Stark,,1
A Game of Thrones,5,Jon I,Jon,North,Stark,,1
A Game of Thrones,6,Catelyn II,Catelyn,North,Stark,,1
A Game of Thrones,7,Arya I,Arya,North,Stark,,1
A Game of Thrones,8,Bran II,Bran,North,Stark,,1
A Game of Thrones,9,Tyrion I,Tyrion,North,Stark,Tyrion,1
A Game of Thrones,10,Jon II,Jon,North,Stark,Jon,1
A Game of Thrones,11,Daenerys II,Daenerys,Essos,Daenerys,,1
A Game of Thrones,12,Eddard II,Eddard,North,Stark,Eddard,1
A Game of Thrones,13,Tyrion II,Tyrion,North,night,Tyrion,1
A Game of Thrones,14,Catelyn III,Catelyn,North,Stark,,1
A Game of Thrones,15,Sansa I,Sansa,Riverlands,Stark,,1
A Game of Thrones,16,Eddard III,Eddard,Riverlands,Stark,,1
A Game of Thrones,17,Bran III,Bran,North,Stark,Bran,1
A Game of Thrones,18,Catelyn IV,Catelyn,KL,KL,Stark,1
A Game of Thrones,19,Jon III,Jon,Wall,night,,1
A Game of Thrones,20,Eddard IV,Eddard,KL,KL,,1
A Game of Thrones,21,Tyrion III,Tyrion,Wall,night,Tyrion,1
A Game of Thrones,22,Arya II,Arya,KL,KL,,1
A Game of Thrones,23,Daenerys III,Daenerys,Essos,Daenerys,,1
A Game of Thrones,24,Bran IV,Bran,North,Bran,,1
A Game of Thrones,25,Eddard V,Eddard,KL,KL,,1
A Game of Thrones,26,Jon IV,Jon,Wall,night,,1
A Game of Thrones,27,Eddard VI,Eddard,KL,KL,,1
A Game of Thrones,28,Catelyn V,Catelyn,Riverlands,Stark,,1
A Game of Thrones,29,Sansa II,Sansa,KL,KL,,1
A Game of Thrones,30,Eddard VII,Eddard,KL,KL,,1
A Game of Thrones,31,Tyrion IV,Tyrion,Vale,Stark,Tyrion,1
A Game of Thrones,32,Arya III,Arya,KL,KL,,1
A Game of Thrones,33,Eddard VIII,Eddard,KL,KL,,1
A Game of Thrones,34,Catelyn VI,Catelyn,Vale,Stark,Tyrion,1
A Game of Thrones,35,Eddard IX,Eddard,KL,KL,,1
A Game of Thrones,36,Daenerys IV,Daenerys,Essos,Daenerys,,1
A Game of Thrones,37,Bran V,Bran,North,Bran,,1
A Game of Thrones,38,Tyrion V,Tyrion,Vale,Stark,Tyrion,1
A Game of Thrones,39,Eddard X,Eddard,KL,KL,,1
A Game of Thrones,40,Catelyn VII,Catelyn,Vale,Stark,Tyrion,1
