Season,Episode,Book,Chapter,Strength,Major,Notes (title text)
1,1,1,Prologue,1,0,
1,1,1,Bran I,1,0,
1,1,1,Catelyn I,1,0,
1,1,1,Daenerys I,1,0,
1,1,1,Eddard I,1,0,
1,1,1,Jon I,1,0,
1,1,1,Catelyn II,1,0,
1,1,1,Daenerys II,1,0,
1,1,1,Bran II,1,0,
,,,,,,
1,2,1,Tyrion I,1,0,
1,2,1,Jon II,1,0,
1,2,1,Eddard II,1,0,
1,2,1,Tyrion II,1,0,
1,2,1,Catelyn III,1,0,
1,2,1,Sansa I,1,0,
1,2,1,Eddard III,1,0,
1,2,1,Bran III,1,0,
1,2,1,Daenerys III,1,0,
,,,,,,
1,3,1,Catelyn IV,1,0,
1,3,1,Jon III,1,0,
1,3,1,Eddard IV,1,0,
1,3,1,Tyrion III,1,0,
1,3,1,Arya II,1,0,
1,3,1,Daenerys III,1,0,
1,3,1,Bran IV,1,0,
1,3,1,Daenerys IV,1,0,
,,,,,,
1,4,1,Bran IV,1,0,
1,4,1,Jon IV,1,0,
1,4,1,Daenerys IV,1,0,
1,4,1,Eddard VI,1,0,
1,4,1,Eddard V,1,0,
1,4,1,Sansa II,1,0,
1,4,1,Catelyn V,1,0,
1,4,1,Bran VII,0,0,Elements of Bran's Dream in this episode are taken from a later dream in the book
,,,,,,
1,5,1,Eddard VII,1,0,
1,5,1,Tyrion IV,1,0,
1,5,1,Arya III,1,0,
1,5,1,Eddard VIII,1,0,
1,5,1,Catelyn VI,1,0,
1,5,1,Eddard IX,1,0,
,,,,,,
1,6,1,Eddard X,1,0,
1,6,1,Daenerys VI,0,0,Dany and the dragon's egg in the brazier
1,6,1,Bran V,1,0,
1,6,1,Daenerys V,1,0,
1,6,1,Tyrion V,1,0,
1,6,1,Eddard XI,1,0,
1,6,1,Sansa III,1,0,
1,6,1,Daenerys V,1,0,
1,6,1,Bran VII,0,0,Elements of Bran's dream
1,6,1,Eddard XII,1,0,Ned reads the book of lineages
1,6,1,Catelyn VII,1,1,Tyrion's Trial by Combat
,,,,,,
1,7,1,Eddard XII,1,0,
1,7,1,Eddard XIII,1,0,
1,7,1,Jon VI,1,0,
1,7,1,Eddard XIV,1,0,
1,7,1,Daenerys VI,1,0,
,,,,,,
1,8,1,Arya IV,1,0,
1,8,1,Sansa IV,1,0,
1,8,1,Eddard XV,1,0,
1,8,1,Jon VII,1,0,
1,8,1,Catelyn VIII,1,0,
1,8,1,Tyrion VI,1,0,
1,8,1,Daenerys VII,1,0,
1,8,1,Bran VI,1,0,
1,8,1,Tyrion VII,1,0,
1,8,1,Sansa V,1,0,
,,,,,,
1,9,1,Eddard XV,1,0,
1,9,1,Jon VIII,1,0,
1,9,1,Catelyn IX,1,0,
1,9,1,Daenerys VIII,1,0,
1,9,1,Tyrion VIII,1,0,
1,9,1,Catelyn X,1,0,
1,9,1,Arya V,1,1,Ned Stark beheaded
,,,,,,
1,10,1,Arya V,1,0,
1,10,1,Bran VII,1,0,
1,10,1,Sansa VI,1,0,
1,10,1,Catelyn XI,1,0,Location is changed from Riverrun
1,10,1,Daenerys IX,1,0,
1,10,1,Tyrion IX,1,0,
1,10,1,Jon IX,1,0,
1,10,1,Daenerys X,1,0,
1,10,2,Arya I,1,0,
1,10,2,Catelyn VII,0,0,Catelyn's conversation with Jaime
1,10,2,Tyrion VI,0,0,Cersei and Lancel's relationship is revealed
1,10,2,Jon I,0,0,
,,,,,,
2,1,2,Sansa I,1,0,
2,1,2,Tyrion I,1,0,
2,1,2,Bran I,1,0,
2,1,2,Daenerys I,1,0,
2,1,2,Jon III,1,0,
2,1,2,Prologue,1,0,
2,1,2,Davos I,1,0,
2,1,2,Catelyn I,1,0,
2,1,2,Bran III,0,0,Bran with Northern lords
,,,,,,
2,2,2,Davos I,1,0,
2,2,2,Arya II,1,0,
2,2,2,Tyrion II,1,0,
2,2,2,Arya III,1,0,
2,2,2,Theon I,1,0,
2,2,2,Daenerys I,1,0,
2,2,2,Jon III,1,0,
2,2,2,Theon II,1,0,
2,2,2,Arya V,1,0,
2,2,2,Tyrion V,1,0,"Robb's terms are delivered (to Tyrion in the novel, not to the small council)"
2,2,2,Tyrion VI,1,0,
,,,,,,
2,3,2,Jon III,1,0,
2,3,2,Bran IV,1,0,Should maybe be a 0?
2,3,2,Catelyn II,1,0,
2,3,2,Theon II,1,0,
